fragments,num_positions,filled,cluster
[100He]C([101He])C(C#N)[N+]#[C-],2,[C-]#[N+]C(C)C#N,0
[100He]C([101He])CC#N,2,CCC#N,0
[100He]CC([101He])C#N,2,CCC#N,0
[100He]C([101He])C#N,2,CC#N,0
[100He]C#CC[101He],2,C#CC,1
[100He]c1nnnnc1[101He],2,c1cnnnn1,2
[100He]C1=[SH]C([101He])=NC1,2,C1=NCC=[SH]1,2
[100He]c1nnc([101He])s1,2,c1nncs1,2
[100He]c1nc([101He])no1,2,c1ncon1,2
[100He]c1nnc([101He])o1,2,c1nnco1,2
[100He]c1nnnc([101He])n1,2,c1ncnnn1,2
[100He]c1noc([101He])n1,2,c1ncon1,2
[100He]c1nnc([101He])nn1,2,c1nncnn1,2
[100He]c1nn[nH]c1[101He],2,c1c[nH]nn1,2
[100He]c1nc([101He])ns1,2,c1ncsn1,2
[100He]c1nnc([101He])[nH]1,2,c1nnc[nH]1,2
[100He]C1CCCCC1[101He],2,C1CCCCC1,3
[100He]C1CCCC1[101He],2,C1CCCC1,3
[100He]C([101He])C(C)(C)C(=O)O,2,CC(C)(C)C(=O)O,4
[100He]C(=O)C(NC)C([101He])O,2,CNC(C=O)CO,4
[100He]CC(=O)C([101He])C,2,CCC(C)=O,4
[100He]C(=O)NC([101He])C(C)C,2,CC(C)CNC=O,4
[100He]C(=O)NC([101He])C,2,CCNC=O,4
[100He]C(=O)C(NCC)C([101He])O,2,CCNC(C=O)CO,4
[100He]C(=O)C(N)C([101He])O,2,NC(C=O)CO,4
[100He]C(=O)C(C)C([101He])O,2,CC(C=O)CO,4
[100He]C(=O)C([101He])C,2,CCC=O,4
[100He]CC(=O)C([101He])O,2,CC(=O)CO,4
[100He]C(=O)NCC([101He])C,2,CCCNC=O,4
[100He]C(=O)C=C[101He],2,C=CC=O,5
[100He]C(=C)C=C[101He],2,C=CC=C,5
[100He]C=CC=CC([101He])=C,2,C=CC=CC=C,6
[100He]C=C[101He],2,C=C,6
[100He]C=CC=C[101He],2,C=CC=C,6
[100He]CCCC(=O)OCC[101He],2,CCCC(=O)OCC,7
[100He]CCCOC([101He])=O,2,CCCOC=O,7
[100He]CCCCCOC([101He])=O,2,CCCCCOC=O,7
[100He]CCCOC(=O)C[101He],2,CCCOC(C)=O,7
[100He]CCOC([101He])=O,2,CCOC=O,7
[100He]CCOC(=O)C[101He],2,CCOC(C)=O,7
[100He]CCCCNC([101He])=O,2,CCCCNC=O,8
[100He]CNC([101He])=O,2,CNC=O,8
[100He]CCCNC([101He])=C,2,C=CNCCC,8
[100He]CCCNC([101He])=O,2,CCCNC=O,8
[100He]CCNC([101He])=O,2,CCNC=O,8
[100He]CCCCCNC([101He])=O,2,CCCCCNC=O,8
[100He]C(=O)NCNC([101He])=O,2,O=CNCNC=O,8
[100He]C=CCNC([101He])=O,2,C=CCNC=O,8
[100He]CC(O)CNC([101He])=O,2,CC(O)CNC=O,8
[100He]C1=C([101He])CCCC1=O,2,O=C1C=CCCC1,9
[100He]C1=C([101He])CCC1=O,2,O=C1C=CCC1,9
[100He]C1=CC2=C(C=C([101He])C2)C1,2,C1=CC2=C(C=CC2)C1,10
[100He]C1=CC([101He])=NC1,2,C1=CCN=C1,10
[100He]C1=CC=C([101He])CC1,2,C1=CCCC=C1,10
[100He]C1=CC([101He])=CCC1,2,C1=CCCC=C1,10
[100He]C1=CCC([101He])=C1,2,C1=CCC=C1,10
[100He]C1=CC=C([101He])C1,2,C1=CCC=C1,10
[100He]C(CC[101He])=NOC(C)=O,2,CCC=NOC(C)=O,11
[100He]C(=NOC(C)=O)C([101He])=O,2,CC(=O)ON=CC=O,11
[100He]C([101He])=NOC(C)=O,2,C=NOC(C)=O,11
[100He]C(C)=NOC([101He])=O,2,CC=NOC=O,11
[100He]C(=O)C([101He])=NOC(C)=O,2,CC(=O)ON=CC=O,11
[100He]CCC(=O)OC[101He],2,CCC(=O)OC,12
[100He]C(=O)CCC(=O)OC[101He],2,COC(=O)CCC=O,12
[100He]COC(=O)C[101He],2,COC(C)=O,12
[100He]C(=O)COC([101He])=O,2,O=CCOC=O,12
[100He]CNC(=O)OC[101He],2,CNC(=O)OC,12
[100He]COC(=O)C=C[101He],2,C=CC(=O)OC,12
[100He]COC([101He])=O,2,COC=O,12
[100He]CC(=O)OC[101He],2,COC(C)=O,12
[100He]CNCC[101He],2,CCNC,13
[100He]C([101He])CCCC(=O)OC,2,CCCCC(=O)OC,14
[100He]C([101He])OCC,2,CCOC,14
[100He]C(CC)CC([101He])C,2,CCCCCC,14
[100He]C(CC)C([101He])=O,2,CCCC=O,14
[100He]C([101He])CC(=O)O,2,CCC(=O)O,14
[100He]C(C)CC([101He])CC,2,CCCCCC,14
[100He]C([101He])CC,2,CCC,14
[100He]CC([101He])CCC,2,CCCCC,14
[100He]C(CC)NC([101He])=O,2,CCCNC=O,14
[100He]C(C)CCC([101He])C,2,CCCCCC,14
[100He]C(CCCCC)OC[101He],2,CCCCCCOC,14
[100He]C([101He])C(C)C,2,CC(C)C,15
[100He]C(O)C=C[101He],2,C=CCO,15
[100He]C([101He])C,2,CC,15
[100He]C([101He])O,2,CO,15
[100He]C([101He])NC,2,CNC,15
[100He]C([101He])C(=O)O,2,CC(=O)O,15
[100He]C(O)C(N)C([101He])=C,2,C=CC(N)CO,15
[100He]C([101He])C(C)N(C)C,2,CC(C)N(C)C,15
[100He]C([101He])F,2,CF,15
[100He]C([101He])OC,2,COC,15
[100He]C([101He])OC(=O)C(F)(F)F,2,COC(=O)C(F)(F)F,15
[100He]C([101He])NS(=O)C(C)(C)C,2,CNS(=O)C(C)(C)C,15
[100He]C([101He])N,2,CN,15
[100He]C([101He])OC(=O)C=C,2,C=CC(=O)OC,15
[100He]C([101He])OO,2,COO,15
