fragments,num_positions,filled,cluster
[100He]C1c2ccccc2C(=O)N([101He])C1[102He],3,O=C1NCCc2ccccc21,0
[100He]C1=CC2C(C=C1)c1ccccc1C21c2ccccc2-c2ccccc21,1,C1=CC2c3ccccc3C3(c4ccccc4-c4ccccc43)C2C=C1,0
[100He]C1C2=C(CCCC2[101He])c2ccccc21,2,c1ccc2c(c1)CC1=C2CCCC1,0
[100He]C1c2ccccc2N([101He])c2ccccc21,2,c1ccc2c(c1)Cc1ccccc1N2,0
[100He]C1c2ccccc2Cc2ccccc2C1[100He],2,c1ccc2c(c1)CCc1ccccc1C2,0
[100He]C1c2ccccc2-c2cc([101He])ccc21,2,c1ccc2c(c1)Cc1ccccc1-2,0
[100He]C1([100He])c2ccccc2C2C=CC([101He])=CC21,3,C1=CC2Cc3ccccc3C2C=C1,0
[100He]C1c2ccccc2CCc2ccccc21,1,c1ccc2c(c1)CCc1ccccc1C2,0
[100He]c1cccc2c1C1CCC2CC1,1,c1ccc2c(c1)C1CCC2CC1,0
[100He]C1C(=O)c2cccc3c([101He])ccc(c23)C1=O,2,O=C1CC(=O)c2cccc3cccc1c23,0
[100He]C1CCCC2=C1C([101He])c1ccccc12,2,c1ccc2c(c1)CC1=C2CCCC1,0
[100He]C1c2ccccc2C([100He])c2cc3c(cc21)CCCC3,2,c1ccc2c(c1)Cc1cc3c(cc1C2)CCCC3,0
[100He]C1Cc2ccccc2O1,1,c1ccc2c(c1)CCO2,0
[100He]C1c2ccccc2C([101He])([101He])c2ccccc21,3,c1ccc2c(c1)Cc1ccccc1C2,0
[100He]c1nc2c(c([101He])c1[101He])C1c3ccccc3C2c2ccccc21,3,c1ccc2c(c1)C1c3ccccc3C2c2ncccc21,0
[100He]C1c2ccccc2CC([101He])C1[102He],3,c1ccc2c(c1)CCCC2,0
[100He]C1Cc2ccccc21,1,c1ccc2c(c1)CC2,0
[100He]C1C(=O)N2C3c4ccccc4C(CCCC(C)(C)C)(c4ccccc43)N2C1=O,1,CC(C)(C)CCCC12c3ccccc3C(c3ccccc31)N1C(=O)CC(=O)N12,0
[100He]C1Cc2ccccc2N([101He])c2ccccc21,2,c1ccc2c(c1)CCc1ccccc1N2,0
[100He]C1c2ccccc2Cc2c1cc1c3c2CC3(C)C1,1,CC12Cc3cc4c(c(c31)C2)Cc1ccccc1C4,0
[100He]c1cccc2c1Cc1c([100He])cccc1C2[101He],3,c1ccc2c(c1)Cc1ccccc1C2,0
