fragments,num_positions,filled,cluster
[100He]c1cc2sc3cscc3c2s1,1,c1cc2sc3cscc3c2s1,0
[100He]c1c2c(cc3cscc13)C=S=C2,1,C1=S=Cc2cc3cscc3cc21,0
[100He]c1nc2cscc2s1,1,c1nc2cscc2s1,0
[100He]c1cc2c(s1)sc1cscc12,1,c1cc2c(s1)sc1cscc12,0
[100He]c1cc2c(s1)-c1cscc1C2,1,c1cc2c(s1)-c1cscc1C2,0
[100He]c1cc2cscc2s1,1,c1cc2cscc2s1,0
[100He]C(CC)(CC)C(C)(CC)CC,1,CCC(CC)C(C)(CC)CC,1
[100He]C(C)(CC)C(C)(CC)CC,1,CCC(C)C(C)(CC)CC,1
[100He]C(C)(C)N,1,CC(C)N,1
[100He]CC(CC)(CC)CC(C)=O,1,CCC(C)(CC)CC(C)=O,1
[100He]C(CC)(CC)CC(C)=O,1,CCC(CC)CC(C)=O,1
[100He]C(CC)(CC)C(=O)CC,1,CCC(=O)C(CC)CC,1
[100He]C(C)(C)COCOCC[Si](C)(C)C,1,CC(C)COCOCC[Si](C)(C)C,1
[100He]C(C)(O)CC,1,CCC(C)O,1
[100He]C(C)(C)C,1,CC(C)C,1
[100He]C(C)(C)CCCCCCCC,1,CCCCCCCCC(C)C,1
[100He]C(C)(CC)CCCC(C)C,1,CCC(C)CCCC(C)C,1
[100He]C(C)(C)CCCC(C)(CC)C(=O)OC,1,CCC(C)(CCCC(C)C)C(=O)OC,1
[100He]C(C)(CC)CCC,1,CCCC(C)CC,1
[100He]CN(C)C(CC)(CC)C(C)(CC)CC,1,CCC(C)(CC)C(CC)(CC)N(C)C,1
[100He]C(CC)(CC)C(CC)(CC)CC,1,CCC(CC)C(CC)(CC)CC,1
[100He]C(C)(C)O,1,CC(C)O,1
[100He]C(C)(C)CCC(C)(C)C,1,CC(C)CCC(C)(C)C,1
[100He]C(CC)(CC)CC(C)CC,1,CCC(C)CC(CC)CC,1
[100He]C(C)(C)CCC,1,CCCC(C)C,1
[100He]C(C)(C)COS(C)(=O)=O,1,CC(C)COS(C)(=O)=O,1
[100He]C(C#C)(CC)CC,1,C#CC(CC)CC,1
[100He]CCC(CC)(CC)CC,1,CCC(CC)(CC)CC,1
[100He]C(C)(C)CCCC,1,CCCCC(C)C,1
[100He]C(CC)(CC)C(CC)(CC)C(=O)NC,1,CCC(CC)C(CC)(CC)C(=O)NC,1
[100He]C(C)(C)C(C)(C)C,1,CC(C)C(C)(C)C,1
[100He]C(CC)(CC)OCC,1,CCOC(CC)CC,1
[100He]C(C)(CC)CCCC(C)(CC)C(=O)OC,1,CCC(C)CCCC(C)(CC)C(=O)OC,1
[100He]C(CC)(CC)CCCC,1,CCCCC(CC)CC,1
[100He]C(CC)(CC)NC(C)=O,1,CCC(CC)NC(C)=O,1
[100He]CC(CC)(CC)CC,1,CCC(C)(CC)CC,1
[100He]C(O)(CC)C(C)(CC)CC,1,CCC(O)C(C)(CC)CC,1
[100He]C(C)(C)CO,1,CC(C)CO,1
