smiles,homo,gap,lumo
CC(=O)CC(CS)C(=O)Cc1c(S)cc(S)cc1S,-8.337731647630301,4.215,0.39578959555225
N#CC(=C(c1ccccc1C#N)C1c2cccc(C#N)c2SC1C#N)c1ccccc1C#N,-9.12669854577,4.507,-0.9973244734675502
CC1=CC2(c3cc(C)c(C)s3)c3cc(-c4ccc(C)s4)cc(-c4ccc(-c5ccc6c(c5)c5ccccc5n6C)s4)c3N(C)C2C=C1,-6.894439784578299,3.805,0.34985677758785
c1ccc(-n2c3ccccc3c3cc(-c4nc(-n5c6ccccc6c6c7cccc8c9cccc%10c9c(cc9c%10c%10ccccc%10n9-c9cccc%10ccccc9%10)c(cc65)c87)nc5ccccc45)ccc32)cc1,-6.5876586295246,2.941,-0.7133192477007001
C1=Cc2cccc(-c3cccc4cc5cc6c(-c7cccc8c7Nc7ccccc7C=C8)cccc6cc5cc34)c2Nc2ccccc21,-7.058633281970001,2.981,-0.9827663824658001
CN1C(=O)C(=Cc2csc(-c3ncc(C(F)(F)F)cn3)c2C(=O)O)C(=O)N(C)C1=O,-9.235952256745751,3.9,-1.48957842902205
CCc1cc2nc3c(-c4ccc(-c5cccs5)s4)ccc(-c4ccc(-c5cccs5)s4)c3nc2cc1CC,-6.85201723528535,2.466,-1.49093899827455
CCCC(CCCCCCO)c1cc2cc(-c3ccc4ncsc4c3)c3ccc4c(C(CCC)CCCCCCO)cc5cc(-c6ccc7ncsc7c6)c6ccc1c1c2c3c4c5c61,-7.41061254759175,3.433,-0.4595458707244
N#Cc1csc(C#N)c1-c1ccnc(-c2c(F)c(F)cc(F)c2F)n1,-9.40460842128565,4.048,-1.3835356614822
Cc1ccccc1C(C)C(=O)C1CC1C,-8.8840818366642,4.515,1.1938723076837001
CO[C@H]1OC[C@@H](C)C(C)[C@H]1O,-9.5768837000372,7.768,2.3228726734082
COC(=O)c1cc(-c2cccs2)cc2cc3cc4c(C(=O)OC)cc(-c5cccs5)cc4cc3cc12,-7.013081423396301,2.783,-1.3089764664452002
CCC(CO)c1ccc2c3c(c(-c4cccc5c4C(=O)c4ccccc4C5=C4c5ccccc5C(=O)c5c4cccc5-c4ccc5c(C(CC)CO)ccc6c5c4C(=O)NC6=O)ccc13)C(=O)NC2=O,-8.2471177354138,3.522,-1.14295980625515
N#Cc1sc(C#Cc2ncc(-c3ncnc(-c4cnc(C#Cc5sc(C#N)c(F)c5F)nn4)n3)nn2)c(F)c1F,-9.31791294851635,3.041,-2.3223556570922503
CN1C(=O)CC(c2ccc(C#N)cc2)(c2c(-c3c(F)c(F)c(F)c(F)c3F)csc2-c2sc(C#N)c(C3COc4cscc4S3)c2C#N)CC1=O,-8.3758275867003,3.855,-1.44968653853875
CC(C(=O)C(C)(C)C(C)C1NC(=O)C(=O)C(=O)N1C(C)(C)C(CC(C(C)(C)C)C(C)(C)C(=O)c1cccc2oc(C(=O)C#N)nc12)c1c(F)c(F)cc(F)c1F)C(C)(C)C,-9.2056659851851,2.842,-2.0807729806183497
C=CCN(c1cccc(Nc2ncc3nnn(-c4cccc(CO)c4)c3n2)c1)S(C)(=O)=O,-8.304724237564649,4.438,-0.3610950796135
CN1C(=O)C(=CC=Cc2ccnc(C(=O)c3nccc(C=CC#N)n3)n2)C(=O)N(C)C1=O,-9.39018638720915,3.424,-1.76874002825
CC(Cl)CC(CO)OCCCc1c[nH]c2nccnc12,-8.571559079364949,4.259,0.1617988955073
CC(=C(c1ccncc1)c1ccncc1)c1ccncc1,-8.8645984849684,4.67,-0.3448770941237
c1ccc(-c2ccc3c(c2)-c2ccc4c(c2C3)-c2ccccc2C4)cc1,-7.8979412424522,4.627,0.50039015968445
COC(=O)c1c(-c2ccc3ccc4cccc5ccc2c3c45)cncc1-c1ccc2ccc3cccc4ccc1c2c34,-7.4768722701885,3.917,-0.4670562129982
CCCCCCc1nc(-c2nc(CCCCCC)c(-c3ccc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)s3)s2)sc1-c1ccc(C)s1,-6.826792281344,2.776,-0.9831201304714501
Cc1cc2c(s1)-c1sc(-c3c(F)cc(-c4cc5c(s4)-c4sc(-c6cc(F)c(-c7scc(C)c7N)c7nsnc67)cc4C5=C4C(=O)c5ccccc5C4=C(C#N)C#N)c4nsnc34)cc1C2=C(C#N)C#N,-6.9838563958526,1.473,-2.5375705014527004
c1ccc(C2OC34OCOC(O2)(OC(c2ccccc2)O3)OC(c2ccccc2)O4)cc1,-9.50866475771685,3.936,-0.03284414175535
C#C[Si](C(C)C)(C(C)C)C(C)(C)c1cc2ccc3cccc4ccc(c1-c1c5ccccc5c(-c5c(C(C)(C)[Si](C#C)(C(C)C)C(C)C)cc6ccc7cccc8ccc5c6c78)c5cc6ccccc6cc15)c2c34,-6.9669309143515,2.866,-0.94736437051575
c1ncnc(-c2cnc3c4ncc(-c5ncncn5)nc4c4nccnc4c3n2)n1,-9.391492533691551,3.551,-1.63390761532725
Cc1ccc(CN2C(=O)C(c3ccccc3)(c3ccccc3)c3ccccc32)n1C,-7.78177583967375,4.993,0.8754991025987
NN=Cc1cc(C(C(F)(F)F)C(F)(F)F)sc1-c1cc2c3c(c(-c4sc(C(C(F)(F)F)C(F)(F)F)cc4C=NN)cc4c3c1C(=O)OC4=O)C(=O)OC2=O,-8.47191098731185,2.883,-2.35533585577285
CCc1cc(-c2cccc3c2C(=C2c4cc(CO)ccc4C(=O)c4cccc(-c5cc(CC)cc(C(F)(F)F)c5)c42)c2cc(CO)ccc2C3=O)cc(C(F)(F)F)c1,-7.37605408857825,1.827,-2.389703835091
CCCCCc1ccc2ccc(-c3cscc3-c3ccc4ccc(CCCCC)nc4c3)cc2n1,-8.2969689928254,4.415,-0.08411039118955001
c1cc(-c2ccc3ncsc3c2)c2cc3cc4cccc(-c5ccc6ncsc6c5)c4cc3cc2c1,-7.0479119962603,3.018,-0.97223557645145
N#CC(C#N)=C(C#N)c1cncc2c(-c3cc(F)nc(F)c3)c(C#N)sc12,-9.93501273868025,3.612,-2.9150468348663
CC(CCO)c1cc2cc(-c3ccc4ccccc4c3)cc3c4cc(C(C)CCO)cc5cc(-c6ccc7ccccc7c6)cc(c(c1)c23)c54,-7.0749056902299,3.267,-0.76444944020965
SC1CNc2c(-c3ccccc3)cccc21,-7.768197358533801,4.411,0.6812098133417
c1ccc2ncc(-c3cc4ccc5cc(-c6cnc7ccccc7c6)cc6ccc(c3)c4c56)cc2c1,-7.7869460028332504,3.744,-0.45715126883999996
Oc1ccc(-c2cccc3cccnc23)c2c3nc4nc(nc5[nH]c(nc6nc(nc([nH]3)c12)-c1ccccc1-6)c1c(-c2cccc3cccnc23)ccc(O)c51)-c1ccccc1-4,-6.36547767059135,1.953,-2.05840522210725
c1ccc(-c2cc3ccc2CCc2ccc(c(-c4ccccn4)c2)CC3)nc1,-7.966024127847301,4.291,0.25722922287765
Cn1c(-c2ncc(-c3ncnc(-c4cnc(-c5nc(C#N)c(C#N)n5C)nn4)n3)nn2)nc(C#N)c1C#N,-9.675824296079,2.97,-2.323308055569
Cc1cc(C)c(-c2nc(N)c(-c3sc(C)c4c3C(C)NC4=O)s2)s1,-7.12391339470495,3.341,-0.42857931453750003
N#Cc1nccc(C=Cc2c(F)c(F)c(-c3ncncn3)c3nsnc23)n1,-8.992573628858551,3.57,-2.11478721193085
Nc1c(N)c2c(-c3ccc4ocnc4c3)ccnc2c2nccc(-c3ccc4ocnc4c3)c12,-7.150471706513749,3.553,0.023401791143
C1=C(c2ccccc2)CCO1,-7.65660346844375,4.82,0.94643918342405
