smiles,gap_reward,sim_reward,reward,C,uncertainty
Cc1c(C=C2C(=O)c3c(csc3Cl)C2=C(C#N)C#N)oc2c1cnc1c2oc2c3oc4c(ncc5c(C)c(C=C6C(=O)c7c(csc7Cl)C6=C(C#N)C#N)oc54)c3c3nn(C)nc3c12,2.7399071123457643,0.4431818181818182,-5.620588930527583,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)[nH]3)c3nsnc23)ncc2c1ncc1c3c4nonc4c4c5cnc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10c(ccc(Br)c%10Cl)C9=C(C#N)C#N)[nH]8)c8nsnc78)ncc6c5n(C)c4c3n(C)c21,2.6292342577188954,0.3644859813084112,-4.998393136223568,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)s2)n(C)c2c1oc1c2cnc2c3ncc4c(oc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc9sccc9cc8C7=C(C#N)C#N)s6)n(C)c54)c3c3nsnc3c21,2.157181893781392,0.42574257425742573,-4.924508626454659,0.53,0
Cc1nc2c(nc1C)c1c(sc3c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8cscc8C7=C(C#N)C#N)s6)[nH]5)c(C)c4n(C)c31)c1sc3c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8cscc8C7=C(C#N)C#N)s6)[nH]5)c(C)c4n(C)c3c21,2.1882481470008726,0.3333333333333333,-4.3549148136675395,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c1cnc1c2oc2c3oc4c(ncc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(C(F)(F)F)ccc8C7=C(C#N)C#N)c7nsnc67)n(C)c54)c3c3nccnc3c12,2.135620593565377,0.3904761904761905,-4.6737158316606155,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)cc2)n(C)c2c3cnc4c5ncc6c7c(c(C)c(C=CC=Cc8ccc(C=C9C(=O)c%10cc(Cl)c(Cl)cc%10C9=C(C#N)C#N)cc8)n7C)n(C)c6c5c5ccccc5c4c3n(C)c12,2.341211209524391,0.45054945054945056,-5.26978263809582,0.53,0
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)s2)ncc2c1oc1c2oc2c3oc4c5cnc(C=CC=Cc6ccc(C=C7C(=O)c8cc(C(F)(F)F)ccc8C7=C(C#N)C#N)s6)c(C)c5oc4c3c(F)c(F)c12,2.347840866036247,0.27358490566037735,-4.1261427528287,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)s2)ccc2c1oc1c2oc2c3oc4c5ccc(-c6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)s6)c(C)c5oc4c3c3nn(C)nc3c12,2.5825509679152754,0.30097087378640774,-4.538861647526925,0.53,0
Cc1c(-c2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)s2)oc2c1oc1c2cnc2c3ncc4c5oc(-c6ccc(C=C7C(=O)c8cc(C(F)(F)F)ccc8C7=C(C#N)C#N)s6)c(C)c5oc4c3c(F)c(F)c21,2.519824873514203,0.25471698113207547,-4.175485250872693,0.53,0
Cc1nc2c(nc1C)c1c3cnc4c(C)c(C=CC=Cc5ccc(C=C6C(=O)c7c(ccc(Br)c7Cl)C6=C(C#N)C#N)cc5)n(C)c4c3sc1c1sc3c(cnc4c(C)c(C=CC=Cc5ccc(C=C6C(=O)c7c(ccc(Br)c7Cl)C6=C(C#N)C#N)cc5)n(C)c43)c21,2.4572809916137413,0.41,-5.122280991613741,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)c4nsnc34)[nH]2)ccc2c1cnc1c2ncc2c3cnc4c5ccc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)c8nsnc78)[nH]6)c(C)c5cnc4c3c(F)c(F)c21,2.2458191926500133,0.28703703703703703,-4.111559933390754,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)c4nsnc34)[nH]2)ncc2c1ccc1c2cnc2c3ncc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)c8nsnc78)[nH]6)c(C)c5ccc4c3c3nn(C)nc3c12,2.1948634109609158,0.2882882882882883,-4.068737284834789,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(Cl)cc(Br)cc5C4=C(C#N)C#N)c4nsnc34)c3nsnc23)sc2c3ccc4c5ccc6c7sc(-c8ccc(-c9ccc(C=C%10C(=O)c%11c(Cl)cc(Br)cc%11C%10=C(C#N)C#N)c%10nsnc9%10)c9nsnc89)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,2.2298398270673445,0.36893203883495146,-4.627898079494528,0.53,0
Cc1c(C=C2C(=O)c3cc(Cl)c(Br)cc3C2=C(C#N)C#N)cnc2c1ccc1c2ncc2c3cnc4c(ccc5c(C)c(C=C6C(=O)c7cc(Cl)c(Br)cc7C6=C(C#N)C#N)cnc54)c3c3nn(C)nc3c21,3.224207817342319,0.29896907216494845,-5.167506786414484,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Cl)cc5C4=C(C#N)C#N)[nH]3)c3nsnc23)ncc2c1sc1c3c4nccnc4c4c5sc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cc(Br)c(Cl)cc%10C9=C(C#N)C#N)[nH]8)c8nsnc78)ncc6c5n(C)c4c3n(C)c21,2.5233377740244367,0.33636363636363636,-4.709701410388073,0.53,0
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)s2)ccc2c1ccc1c3c(F)c(F)c4c5ccc6c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)s7)ccc6c5n(C)c4c3n(C)c21,2.394034948811771,0.40217391304347827,-5.008165383594379,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(C(F)(F)F)ccc5C4=C(C#N)C#N)cc3)c3nsnc23)oc2c3ccc4c5ccc6c7oc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc(C(F)(F)F)ccc%11C%10=C(C#N)C#N)cc9)c9nsnc89)c(C)c7n(C)c6c5c5nsnc5c4c3n(C)c12,2.458907349968499,0.33653846153846156,-4.646407349968499,0.53,0
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3)c3nsnc23)oc2c3cnc4c5ncc6c7oc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cc(F)c(F)cc%11C%10=C(C#N)C#N)cc9)c9nsnc89)c(C)c7n(C)c6c5c5nonc5c4c3n(C)c12,2.6365705466046667,0.32710280373831774,-4.7627387709037325,0.53,0
