smiles,gap_dft
C=C(C)C(=O)C1=c2cc3c(cc2-c2c1sc1ccccc21)=C(C1=CC2=C(C=C(c4nnc(C=C5N=Cc6ccc7c(c65)CC=CC7)nn4)C2)C1)c1sc2ccccc2c1-3,0.841
C=COC(=O)C=CC(Cl)=NN=C(Cl)C1=c2cc3cc4c(cc3cc2-c2c1oc1ccccc21)=C(C=CC=CC=C(C=C)c1cccc(=O)[nH]1)c1oc2ccccc2c1-4,1.182
C1=CC2OC1C(c1ncnnn1)C2C1CCOCC1C1=c2cc3c(cc2-c2ccsc21)=C(c1nc2ccccc2c2cccnc12)c1sc2cc4ccccc4cc2c1-3,1.121
C(#Cc1csc(-n2c3c(c4ccccc42)-c2cc4cc5c(cc4cc2=C3C=C2N=CC3=C2C2C=CC=C4C=CC=C3C42)-c2c(n(-c3cccc4c3[nH]c3ncccc34)c3ccccc23)C=5C=C2N=CC3=C2C2C=CC=C4C=CC=C3C42)c1)Cc1cc2cnccn2n1,0.998
O=c1ccoc(C2=c3cc4c(cc3-c3sc5ccccc5c32)=C(c2sc(-c3nn[nH]c3-c3ccc5oc6c7ccccc7ccc6c5c3)c3c2N=S=N3)c2c-4sc3ccccc23)c1,1.16
COC(=O)C(C)(C)CC1=C(CC#CC2=c3cc4c(cc3-c3c2sc2ccccc32)=C(c2ccc3c(c2)c2cncc5c6ccccc6n3c52)c2sc3ccccc3c2-4)C(=O)CCC1,1.145
O=c1nc(C2=c3cc4cc5c(cc4cc3C3=C2S(=O)(=O)c2ccccc23)=C(C2(C3=NC4SC(c6cccc7c6COS(=O)C7)=NC4S3)C=CCC2)c2oc3ccccc3c2-5)cc2n1CC1COCN21,1.479
[C-]#[N+]C(C#N)C(C1=c2cc3cc4c(cc3cc2-c2c1oc1ccccc21)=C(c1cc2c(s1)C=C(C(C)(CC)CCCC(C)(CC)C(=O)OC)C2)c1oc2ccccc2c1-4)c1ccc2ncoc2c1,1.408
CCCCCCCCCCC(C)CC(CC#N)c1ccc(C2=c3cc4c(cc3-c3c2sc2ccccc32)=C(c2scc3nccnc23)c2sc3ccccc3c2-4)o1,1.036
O=C1C=CC(C2=CC=[SH]C2)(c2sc(C3=c4cc5cc6c(cc5cc4-c4c3oc3ccccc43)=C(c3ccc4c(c3)C3c5ccccc5CCC3CC4)c3oc4ccccc4c3-6)c3cnsc23)C=C1,1.343
C=CC(=CCC#CC=CCCCCC)C1=c2cc3c(cc2-c2sc4ccccc4c21)=C(C#CCSCC)c1c-3sc2ccccc12,1.175
C1=CCc2cc3c(cc2CC1)CC=C(CCCC1=c2cc4c(cc2-c2c1sc1cc5ccccc5cc21)=C(c1nc2c(s1)NC([c-]1n5cccc5cc5ccc[n+]1-5)=[SH]2)c1sccc1-4)C3,1.181
C1=CC2Oc3ccc(C4(C5=c6cc7c(cc6-c6c5sc5ccccc65)=C(C5Cc6c(-c8ccc9[nH]c%10ccncc%10c9c8)cccc65)c5sc6ccccc6c5-7)OCCO4)cc3C2C=C1,1.103
CC(C)(C)CCCCCCCCc1c[nH]c(C2=c3cc4cc5c(cc4cc3-c3c2sc2ccccc32)=C(c2nnc(C3=CCC4C=CC=CC4=C3)s2)c2sc3ccccc3c2-5)nc1=O,1.211
CNC(C(=O)C1=CCC(C2=c3cc4c(cc3-c3c2sc2ccccc32)=C(c2cnon2)c2sc3ccccc3c2-4)=NC1=O)C(O)c1ccc2cc3c(cc2c1)C1CCC3(C)C1(C)C,0.752
