smiles,gap_dft
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3c(csc3Cl)C2=C(C#N)C#N)n(C)c2c1n(C)c1c3c4nsnc4c4c5c(c6c(c(C)c(C=CC=CC=CC=CC=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)n6C)n5C)n(C)c4c3n(C)c21,1.481
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sc(Br)cc6cc5C4=C(C#N)C#N)c4nsnc34)[nH]2)oc2c1oc1c2sc2c3sc4c5oc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sc(Br)cc%10cc9C8=C(C#N)C#N)c8nsnc78)[nH]6)c(C)c5oc4c3c3ccccc3c12,1.92
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)[nH]2)oc2c3oc4c5oc6c7oc(C=CC=Cc8ccc(C=C9C(=O)c%10cc(C(F)(F)F)ccc%10C9=C(C#N)C#N)[nH]8)c(C)c7n(C)c6c5c5nn(C)nc5c4c3n(C)c12,1.794
Cc1nc2c(nc1C)c1c3sc4c(C)c(-c5ccc(C=CC=CC=C6C(=O)c7cc(Br)c(Cl)cc7C6=C(C#N)C#N)[nH]5)sc4c3sc1c1sc3c4sc(-c5ccc(C=CC=CC=C6C(=O)c7cc(Br)c(Cl)cc7C6=C(C#N)C#N)[nH]5)c(C)c4sc3c21,1.836
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(Cl)cc(Br)cc5C4=C(C#N)C#N)s3)s2)n(C)c2c1oc1c3c4nccnc4c4c5oc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10c(Cl)cc(Br)cc%10C9=C(C#N)C#N)s8)s7)n(C)c6c5n(C)c4c3n(C)c12,2.141
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc4sccc4cc3C2=C(C#N)C#N)sc2c3ccc4c5ccc6c7sc(C=CC=CC=CC=CC=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,2.143
Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)n(C)c2c3sc4c5sc6c7c(c(C)c(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)n7C)n(C)c6c5c5nonc5c4c3n(C)c12,2.17
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)oc2c1oc1c2oc2c3oc4c5oc(C=CC=CC=CC=CC=C6C(=O)c7c(ccc(Br)c7Cl)C6=C(C#N)C#N)c(C)c5oc4c3c(F)c(F)c12,1.665
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cscc3C2=C(C#N)C#N)ncc2c1ncc1c2ccc2c3ccc4c5cnc(C=CC=CC=CC=CC=C6C(=O)c7cscc7C6=C(C#N)C#N)c(C)c5ncc4c3c3nccnc3c12,2.268
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Br)c(Br)cc3C2=C(C#N)C#N)n(C)c2c1oc1c3c4ccccc4c4c5oc6c(C)c(C=CC=CC=CC=CC=C7C(=O)c8cc(Br)c(Br)cc8C7=C(C#N)C#N)n(C)c6c5n(C)c4c3n(C)c12,1.347
