smiles,homo,gap,lumo
Cc1c(C=C2C(=O)c3cc(Br)c(Cl)cc3C2=C(C#N)C#N)n(C)c2c3ccc4c5ccc6c7c(c(C)c(C=C8C(=O)c9cc(Br)c(Cl)cc9C8=C(C#N)C#N)n7C)n(C)c6c5c5nsnc5c4c3n(C)c12,-7.62895670123295,2.424,-2.2708445051926
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Cl)cc5C4=C(C#N)C#N)cc3)[nH]2)oc2c1ccc1c3c4ccccc4c4c5ccc6c(C)c(-c7ccc(-c8ccc(C=C9C(=O)c%10cc(Br)c(Cl)cc%10C9=C(C#N)C#N)cc8)[nH]7)oc6c5n(C)c4c3n(C)c12,-6.9288893980516,2.573,-2.1874143986293
Cc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)n(C)c2c1ccc1c2sc2c3sc4c(ccc5c(C)c(C=C6C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)n(C)c54)c3c(F)c(F)c12,-7.9053155278007505,2.64,-2.26869480577365
Cc1c(C=C2C(=O)c3cc(Br)c(Cl)cc3C2=C(C#N)C#N)n(C)c2c1oc1c2oc2c3oc4c(oc5c(C)c(C=C6C(=O)c7cc(Br)c(Cl)cc7C6=C(C#N)C#N)n(C)c54)c3c3ccccc3c21,-7.4208168169855,2.236,-2.3973774456751
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(ccc(Br)c4Cl)C3=C(C#N)C#N)cc2)sc2c1sc1c2oc2c3oc4c5sc(C=CC=Cc6ccc(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)cc6)c(C)c5sc4c3c3nsnc3c21,-7.2771407039215,2.551,-2.0573439780903002
Cc1c(C=C2C(=O)c3c(Cl)cc(Br)cc3C2=C(C#N)C#N)sc2c1ccc1c2sc2c3sc4c(ccc5c(C)c(C=C6C(=O)c7c(Cl)cc(Br)cc7C6=C(C#N)C#N)sc54)c3c3nccnc3c12,-7.994351179684351,2.684,-2.39637062442825
Cc1c(C=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)ccc2c1oc1c2sc2c3sc4c5ccc(C=C6C(=O)c7c(ccc(Br)c7Cl)C6=C(C#N)C#N)c(C)c5oc4c3c3ccccc3c12,-7.7651496834082,2.613,-2.3813227284956002
Cc1c(C=C2C(=O)c3c(ccc(Br)c3Cl)C2=C(C#N)C#N)sc2c1ccc1c3c4ccccc4c4c5ccc6c(C)c(C=C7C(=O)c8c(ccc(Br)c8Cl)C7=C(C#N)C#N)sc6c5n(C)c4c3n(C)c12,-7.5042469235488,2.573,-2.26042254471845
Cc1c(C=C2C(=O)c3cc(Br)c(Br)cc3C2=C(C#N)C#N)n(C)c2c1ccc1c3c4nccnc4c4c5ccc6c(C)c(C=C7C(=O)c8cc(Br)c(Br)cc8C7=C(C#N)C#N)n(C)c6c5n(C)c4c3n(C)c12,-7.522859510922999,2.455,-2.243850811223
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)c4nsnc34)c3nsnc23)sc2c1ccc1c2ccc2c3ccc4c(ccc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)c8nsnc78)c7nsnc67)sc54)c3c(F)c(F)c12,-7.64441276794135,2.498,-2.4225207654612997
