smiles,homo,gap,lumo
CCOC(=O)C(=O)C(=O)C=CC(=O)C1=c2cc3cc4c(cc3cc2C2=C1c1ccccc1S2=O)=C(C(C)=C(C)CCC[SiH](O[Si](C)(C)C)O[Si](C)(C)C)C1=C4S(=O)(=O)c2ccccc21,-7.592901616041701,1.161,-3.28874078575795
CCOC(C)CSOCCCCc1nccc2oc3ccccc3c12,-8.5756679985075,4.593,0.27943371307845
Brc1ccc2ccsc2c1,-8.44644113090505,4.828,0.4983493058057
O=C1c2ccc3c4c(ccc(c24)C(=S)N1n1ccc2cc4ccoc4cc21)C(=O)N(n1ccc2cc4ccoc4cc21)C3=S,-7.84120550462295,2.309,-2.77139793318735
N#Cc1ccc(-c2ccc3c(c2)c2cc(-c4cccc(-c5ccccn5)n4)ccc2c2nc4ccccc4n32)cc1,-8.041263607510551,4.088,-0.5927183891591
CC1CC(C)c2cc3ccccc3cc21,-7.978486942200201,4.556,0.62518157152375
Nc1ccc(-c2ccccc2)cc1N,-7.410748604517001,4.681,1.0605909437088
CCCCCCCCCCCCc1ccc(C)cc1,-8.603804570649201,5.302,1.6553773981317
CC(C)(C)c1ccc2c(F)c(C(C)(C)C)ccc2c1,-7.9501326789780995,4.526,0.458783951943
O=C(c1ccccc1)c1cccc(-c2c(-c3ccc(-c4ccc5ccccc5c4)cc3)cc(-c3ccccc3)cc2-c2ccc(-c3ccc4ccccc4c3)cc2)c1,-7.888716582920251,3.844,-0.18762249991975
[C-]#[N+]/C(C)=C\c1ccc2c(c1)c(=O)c1cc3cc4c(cc3cc1n2C)c(=O)c1cc(/C=C(\C#N)[N+]#[C-])ccc1n4C,-7.67935218634555,3.114,-1.4541219943019
Cc1cc(C)cc(C2(C)c3cc(B4OC(C)(C)C(C)(C)O4)ccc3-c3ccc(B4OC(C)(C)C(C)(C)O4)cc32)c1,-7.903165828381801,4.491,0.27312067174685
Cc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2C,-7.4639196509047,4.253,0.6947610830966
Clc1ccc(-c2ccccc2Cl)c(-c2nc3ccccc3[nH]2)c1,-8.140775642638399,4.514,-0.0639467548675
