smiles,homo,gap,lumo
CC1(C)c2ccccc2-c2ccc([Si](c3ccc4c(c3)C(C)(C)c3ccccc3-4)(c3ccc4c(c3)C(C)(C)c3ccccc3-4)C(C)(C)C)cc21,-8.05421622679435,4.707,0.4344569737083
C=CC(=O)OCCCC(=O)OCCCCCC(=O)OCC(CC)CCCCC,-10.23841968198775,5.08,0.52041773908125
C=CC(=O)OC(CCCCCCC)c1cc2n(c(=O)n1)CC1(C)CN(c3cncc4nnsc34)CCN21,-8.52562626140055,4.032,-0.7438504217267999
c1cc2c(ccc3nsnc32)c2nsnc12,-8.77640638602135,3.775,-1.5302050269017
CCCCCCNc1c(NCCCCCC)c2c3c(c(NCCCCCC)c(NCCCCCC)c4c3c1C(=O)CC4=O)C(=O)NC2=O,-7.21893555129955,2.725,-1.3499023895604
CN(C)C,-8.2963159195842,6.245,2.4681542581901503
Cc1sc(C)c2c1C(=O)N(c1cccc(-c3cccs3)c1)C2=O,-8.05040663288735,4.551,-0.1275125503443
C=S(=O)(Nc1ccc2c(c1)C1(c3ccccc3C=C2)c2ccccc2Sc2cc3oc4ccccc4c3cc21)n1cc2nc3ccccc3nc2c1,-7.380598389881599,2.958,-0.9248605550794
CCCCCCC#Cc1ccc2c(c1)C(CC(=O)COCC(F)F)=C(c1cc[nH]c1)C2,-7.59075191662275,4.33,0.5316016183368001
CCCCC(CC)Cn1c2cc(N(c3ccc4c(c3)C(C)(C)c3ccccc3-4)c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc2c2ccc3c(=O)n(-c4c(C)cc(C)cc4C)c(=O)c4ccc1c2c34,-7.06061971307865,3.189,-0.6645564456911
Cc1cc(C)cc(-c2c3ccccc3c(-c3ccccc3)c3ccc(-n4c(-c5ccccc5)ccc4-c4ccccc4)cc23)c1,-7.25610630327785,3.554,-0.4032183036709
CC1(C)c2ccccc2N(c2ccccc2)c2cc3c(cc21)N(c1ccccc1)c1ccccc1C3(C)C,-6.6048562248762,4.057,1.0407266326223
CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1ccc(-c2ccc(-c5ccc(C)s5)s2)cc1C4=C(C#N)C#N)C(=C(C#N)C#N)c1cc(C)ccc1-3,-7.405034213656499,2.51,-1.89470152964645
c1ccc(-c2cc(-c3ccccc3)cc(-n3c4ccc(-c5ccccc5)cc4c4c5sc6c(ccc7c6c6cc(-c8ccccc8)ccc6n7-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)c5ccc43)c2)cc1,-7.17839058757505,4.117,0.3121690092936
N#Cc1ccc(C(F)(F)F)cc1,-10.3211150811547,5.197,-0.56754785798785
c1ccc2c(c1)ccc1c2cnc2ccccc2ncc2c3ccccc3ccc2c2c3ccccc3c1c1ccccc12,-6.994550470177251,3.225,-0.4504028453476
C/C(N)=N/C(=O)c1ccccc1,-9.0534454972154,4.142,0.24748754702975
FF,-14.389298780284848,4.485,-2.0410715698304003
N#C/C(=C\c1ccc(/C=C/c2ccc(/C=C(\C#N)c3cccs3)s2)s1)c1cccs1,-7.2740930287959005,2.601,-1.7981827468741
Fc1cc(COc2c(F)cc(Br)cc2F)cc(F)c1F,-8.942286989286151,5.138,0.64123628870325
c1ccc(-n2c(-c3ccc(-c4cccc5c(-c6ccc(-c7nc8ccccc8n7-c7ccccc7)cc6)cccc45)cc3)nc3ccccc32)cc1,-7.774047806319549,4.214,-0.12541727369545
