smiles,homo,gap,lumo
c1ccc(-c2ncccn2)cc1,-8.8070736169727,4.546,0.14963540638995
C(=C\c1cccs1)\c1cccs1,-7.68370600795355,3.855,-0.17711890529045
Cc1ccccc1N1C=CN(c2ccccc2)C1C,-6.544093202059551,4.223,1.4197812263688
CCn1cc(F)c(OCCc2ccc(Oc3ccc(C(F)(F)F)nc3)c(F)c2)nc1=O,-8.75267805825775,4.783,0.16492820478805
Cc1ccccc1C1=NC(c2ccc(C(F)(F)F)cc2)C(c2cccc(F)c2)N1C(=O)N1CCCC(=O)C1,-8.9731719113179,4.159,0.29831841430315
Cc1cc(C)cc(-c2c3ccc(-n4c(-c5ccccc5)ccc4-c4ccccc4)cc3c(-c3ccc4ccccc4c3)c3ccc(-n4c(-c5ccccc5)ccc4-c4ccccc4)cc23)c1,-7.220486600247399,3.431,-0.5427038634372
c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)cc4c2n3-c2ccc(-n3c5ccccc5c5ccccc53)cc2C4(c2ccccc2)c2ccccc2)cc1,-7.3181210498068,4.119,0.3198426198777
c1ccc(-c2cc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5c6sc7ccccc7c6ccc54)cc3)n2)cc1,-7.5199751041077,4.206,-0.3914629853293
CCC(=O)N(CC)C(=O)C(C)(C)C,-9.71084534863835,4.77,1.01065805214205
Cc1ccc(C2(c3ccc(-c4ccc(-c5c6ccccc6c(-c6ccc(/C=C/c7ccc(-c8cccc9ccccc89)cc7)cc6)c6ccccc56)cc4)cc3)c3ccccc3-c3ccccc32)cc1,-7.2368678540475,3.531,-0.4106198004044999
c1ccc(-c2cccc(-c3nc(-n4c5ccccc5c5c6cccc7c8cccc9c8c(cc8c9c9ccccc9n8-c8ccccc8)c(cc54)c76)nc4ccccc34)c2)cc1,-6.73544366173115,2.937,-0.8836353067286501
CC(C)(C)CSc1cc(C(=O)[O-])cc(C(=O)O)c1,-4.744223349312351,4.258,3.1970112067544
CCC(C)c1ccc(-c2ccncc2)cc1,-8.74848750496005,5.056,0.35094523298985
CN(C)C(C)(C)C,-8.10466613467705,6.325,2.3690776052231
CCC1=CC2C=C(CC)C1CC2,-8.3414868187672,5.969,2.2131563688866
